"seqnames","start","end","width","strand","V4","V5","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","feature_simplified"
"chr1",960547,960547,1,"*","TBP_peak_27",7.23635,"Promoter (<=1kb)",1,960584,965719,5136,1,"339451","ENST00000338591.8",-37,"Promoter (<=1kb)"
"chr1",966882,966882,1,"*","TBP_peak_28",9.01492,"Promoter (<=1kb)",1,966502,975008,8507,1,"84069","ENST00000379409.6",380,"Promoter (<=1kb)"
"chr1",1000132,1000132,1,"*","TBP_peak_29",45.2323,"Promoter (<=1kb)",1,998964,1000097,1134,2,"57801","ENST00000304952.11",-35,"Promoter (<=1kb)"
"chr1",1001002,1001002,1,"*","TBP_peak_30",5.62088,"Promoter (<=1kb)",1,1001138,1014540,13403,1,"9636","ENST00000624697.4",-136,"Promoter (<=1kb)"
"chr1",1001939,1001939,1,"*","TBP_peak_31",20.3044,"Promoter (<=1kb)",1,1001145,1014435,13291,1,"9636","ENST00000624652.1",794,"Promoter (<=1kb)"
"chr1",1013410,1013410,1,"*","TBP_peak_32",19.317,"Promoter (<=1kb)",1,1013497,1014540,1044,1,"9636","ENST00000649529.1",-87,"Promoter (<=1kb)"
"chr1",1017605,1017605,1,"*","TBP_peak_33",9.80913,"Promoter (2-3kb)",1,1020120,1056116,35997,1,"375790","ENST00000379370.7",-2515,"Promoter (2-3kb)"
"chr1",1019680,1019680,1,"*","TBP_peak_34",5.11091,"Promoter (<=1kb)",1,1020120,1056116,35997,1,"375790","ENST00000379370.7",-440,"Promoter (<=1kb)"
"chr1",1033151,1033151,1,"*","TBP_peak_35",9.17212,"Promoter (<=1kb)",1,1034106,1056116,22011,1,"375790","ENST00000651234.1",-955,"Promoter (<=1kb)"
"chr1",1040784,1040784,1,"*","TBP_peak_36",11.4871,"Exon (ENST00000379370.7/375790, exon 4 of 36)",1,1045399,1046349,951,1,"375790","ENST00000479707.1",-4615,"Other Exon"
"chr1",1059574,1059574,1,"*","TBP_peak_37",14.1723,"Promoter (<=1kb)",1,1059687,1066449,6763,1,"100288175","ENST00000688131.1",-113,"Promoter (<=1kb)"
"chr1",1069239,1069239,1,"*","TBP_peak_38",8.12575,"Exon (ENST00000412397.2/100288175, exon 10 of 10)",1,1064495,1066274,1780,1,"100288175","ENST00000433695.1",4744,"Other Exon"
"chr1",1074307,1074307,1,"*","TBP_peak_39",6.73838,"Promoter (<=1kb)",1,1070967,1074306,3340,2,"401934","ENST00000453464.3",-1,"Promoter (<=1kb)"
"chr1",1109974,1109974,1,"*","TBP_peak_40",7.84653,"Intron (ENST00000379339.5/54991, intron 2 of 11)",1,1082700,1106127,23428,2,"54991","ENST00000379319.5",-3847,"Other Intron"
"chr1",1116371,1116371,1,"*","TBP_peak_41",12.7007,"Promoter (<=1kb)",1,1087190,1116361,29172,2,"54991","ENST00000475119.5",-10,"Promoter (<=1kb)"
"chr1",1157614,1157614,1,"*","TBP_peak_42",15.2706,"Distal Intergenic",1,1167104,1167198,95,1,"406984","ENST00000384997.3",-9490,"Distal Intergenic"
"chr1",1185668,1185668,1,"*","TBP_peak_43",11.0969,"Promoter (<=1kb)",1,1185036,1197475,12440,1,"254173","ENST00000486379.1",632,"Promoter (<=1kb)"
"chr1",1231583,1231583,1,"*","TBP_peak_44",4.89945,"Promoter (<=1kb)",1,1227272,1231968,4697,2,"51150","ENST00000459994.2",385,"Promoter (<=1kb)"
"chr1",1232019,1232019,1,"*","TBP_peak_45",44.7846,"Promoter (<=1kb)",1,1216931,1232031,15101,2,"51150","ENST00000263741.12",12,"Promoter (<=1kb)"
"chr1",1273883,1273883,1,"*","TBP_peak_46",15.4577,"Promoter (<=1kb)",1,1255048,1273864,18817,2,"118424","ENST00000464036.5",-19,"Promoter (<=1kb)"
"chr1",1274134,1274134,1,"*","TBP_peak_47",9.61933,"Promoter (<=1kb)",1,1255048,1273864,18817,2,"118424","ENST00000464036.5",-270,"Promoter (<=1kb)"
"chr1",1291965,1291965,1,"*","TBP_peak_48",5.778,"3' UTR",1,1294499,1295008,510,2,"116983","ENST00000470659.1",3043,"3' UTR"
"chr1",1308064,1308064,1,"*","TBP_peak_49",6.42528,"Promoter (<=1kb)",1,1292391,1307930,15540,2,"116983","ENST00000354700.10",-134,"Promoter (<=1kb)"
"chr1",1308416,1308416,1,"*","TBP_peak_50",7.76881,"Promoter (<=1kb)",1,1308597,1311677,3081,1,"126789","ENST00000379031.10",-181,"Promoter (<=1kb)"
"chr1",1324585,1324585,1,"*","TBP_peak_51",8.16518,"Promoter (<=1kb)",1,1319470,1324603,5134,2,"54973","ENST00000470679.3",18,"Promoter (<=1kb)"
"chr1",1324930,1324930,1,"*","TBP_peak_52",7.15965,"Promoter (<=1kb)",1,1324802,1328896,4095,1,"80772","ENST00000343938.9",128,"Promoter (<=1kb)"
"chr1",1349398,1349398,1,"*","TBP_peak_53",12.2111,"Promoter (<=1kb)",1,1335278,1349418,14141,2,"1855","ENST00000378888.10",20,"Promoter (<=1kb)"
"chr1",1349752,1349752,1,"*","TBP_peak_54",3.08773,"Promoter (<=1kb)",1,1335278,1349418,14141,2,"1855","ENST00000378888.10",-334,"Promoter (<=1kb)"
"chr1",1358482,1358482,1,"*","TBP_peak_55",4.74086,"Promoter (<=1kb)",1,1352692,1358543,5852,2,"54587","ENST00000445648.5",61,"Promoter (<=1kb)"
"chr1",1358772,1358772,1,"*","TBP_peak_56",5.50017,"Promoter (<=1kb)",1,1352689,1358794,6106,2,"54587","ENST00000342753.8",22,"Promoter (<=1kb)"
"chr1",1375588,1375588,1,"*","TBP_peak_57",32.3939,"Promoter (<=1kb)",1,1373736,1375207,1472,2,"54998","ENST00000338338.10",-381,"Promoter (<=1kb)"
"chr1",1399339,1399339,1,"*","TBP_peak_58",29.148,"Promoter (<=1kb)",1,1385711,1399335,13625,2,"81669","ENST00000400809.8",-4,"Promoter (<=1kb)"
"chr1",1407315,1407315,1,"*","TBP_peak_59",85.8772,"Promoter (<=1kb)",1,1401909,1407293,5385,2,"55052","ENST00000344843.12",-22,"Promoter (<=1kb)"
"chr1",1435556,1435556,1,"*","TBP_peak_60",3.9965,"Promoter (<=1kb)",1,1435523,1440765,5243,1,"64856","ENST00000338660.5",33,"Promoter (<=1kb)"
"chr1",1441110,1441110,1,"*","TBP_peak_61",4.00619,"3' UTR",1,1435735,1437177,1443,1,"64856","ENST00000471398.1",5375,"3' UTR"
"chr1",1471730,1471730,1,"*","TBP_peak_62",9.01492,"Promoter (<=1kb)",1,1471765,1497848,26084,1,"83858","ENST00000673477.1",-35,"Promoter (<=1kb)"
"chr1",1505070,1505070,1,"*","TBP_peak_63",8.18503,"Promoter (<=1kb)",1,1505671,1509466,3796,1,"83858","ENST00000692936.1",-601,"Promoter (<=1kb)"
"chr1",1511309,1511309,1,"*","TBP_peak_64",4.57995,"Promoter (<=1kb)",1,1512162,1534685,22524,1,"55210","ENST00000378756.8",-853,"Promoter (<=1kb)"
"chr1",1511982,1511982,1,"*","TBP_peak_65",34.0379,"Promoter (<=1kb)",1,1512162,1534685,22524,1,"55210","ENST00000378756.8",-180,"Promoter (<=1kb)"
"chr1",1574941,1574941,1,"*","TBP_peak_66",65.3634,"Promoter (<=1kb)",1,1541673,1574863,33191,2,"29101","ENST00000291386.4",-78,"Promoter (<=1kb)"
"chr1",1614346,1614346,1,"*","TBP_peak_67",7.59286,"Promoter (1-2kb)",1,1615454,1630604,15151,1,"142678","ENST00000479659.5",-1108,"Promoter (1-2kb)"
"chr1",1615586,1615586,1,"*","TBP_peak_68",19.3708,"Promoter (<=1kb)",1,1615530,1625040,9511,1,"142678","ENST00000514363.1",56,"Promoter (<=1kb)"
"chr1",1659030,1659030,1,"*","TBP_peak_69",13.5726,"Promoter (<=1kb)",1,1635738,1659012,23275,2,"984","ENST00000629312.2",-18,"Promoter (<=1kb)"
"chr1",1692839,1692839,1,"*","TBP_peak_70",11.3305,"Promoter (<=1kb)",1,1661478,1692795,31318,2,"728661","ENST00000617444.5",-44,"Promoter (<=1kb)"
"chr1",1724425,1724425,1,"*","TBP_peak_71",29.3685,"Promoter (<=1kb)",1,1702379,1724357,21979,2,"728642","ENST00000404249.8",-68,"Promoter (<=1kb)"
"chr1",1746252,1746252,1,"*","TBP_peak_72",17.1113,"Promoter (<=1kb)",1,1732242,1745992,13751,2,"9906","ENST00000246421.4",-260,"Promoter (<=1kb)"
"chr1",1758938,1758938,1,"*","TBP_peak_73",12.0976,"Promoter (<=1kb)",1,1752471,1758575,6105,2,"65220","ENST00000342348.9",-363,"Promoter (<=1kb)"
"chr1",1778404,1778404,1,"*","TBP_peak_74",2.8394,"Promoter (<=1kb)",1,1756588,1778419,21832,2,"65220","ENST00000492768.5",15,"Promoter (<=1kb)"
"chr1",1778948,1778948,1,"*","TBP_peak_75",9.99245,"Promoter (<=1kb)",1,1751232,1778790,27559,2,"65220","ENST00000341991.7",-158,"Promoter (<=1kb)"
"chr1",1859352,1859352,1,"*","TBP_peak_76",6.34879,"Promoter (<=1kb)",1,1785434,1858772,73339,2,"2782","ENST00000703703.1",-580,"Promoter (<=1kb)"
"chr1",1883594,1883594,1,"*","TBP_peak_77",6.2077,"Intron (ENST00000610897.4/2782, intron 1 of 10)",1,1785312,1890091,104780,2,"2782","ENST00000703692.1",6497,"Other Intron"
"chr1",1889480,1889480,1,"*","TBP_peak_78",11.0619,"Promoter (<=1kb)",1,1785312,1890091,104780,2,"2782","ENST00000703692.1",611,"Promoter (<=1kb)"
"chr1",1889977,1889977,1,"*","TBP_peak_79",4.82789,"Promoter (<=1kb)",1,1785312,1890091,104780,2,"2782","ENST00000703692.1",114,"Promoter (<=1kb)"
"chr1",1891109,1891109,1,"*","TBP_peak_80",24.5819,"Promoter (<=1kb)",1,1785285,1891117,105833,2,"2782","ENST00000610897.4",8,"Promoter (<=1kb)"
"chr1",1891610,1891610,1,"*","TBP_peak_81",7.54507,"Promoter (<=1kb)",1,1891268,1892726,1459,1,"105378949","ENST00000702668.1",342,"Promoter (<=1kb)"
"chr1",1906392,1906392,1,"*","TBP_peak_82",10.3577,"Distal Intergenic",1,1915108,1917294,2187,1,"163688","ENST00000378604.3",-8716,"Distal Intergenic"
"chr1",1909068,1909068,1,"*","TBP_peak_83",17.5641,"Distal Intergenic",1,1915108,1917294,2187,1,"163688","ENST00000378604.3",-6040,"Distal Intergenic"
"chr1",1909365,1909365,1,"*","TBP_peak_84",29.048,"Distal Intergenic",1,1915108,1917294,2187,1,"163688","ENST00000378604.3",-5743,"Distal Intergenic"
"chr1",1919266,1919266,1,"*","TBP_peak_85",40.3573,"Promoter (<=1kb)",1,1918099,1919269,1171,2,"339456","ENST00000602604.1",3,"Promoter (<=1kb)"
"chr1",2003764,2003764,1,"*","TBP_peak_86",3.50258,"Promoter (<=1kb)",1,1921957,2003786,81830,2,"85452","ENST00000682832.2",22,"Promoter (<=1kb)"
"chr1",2046679,2046679,1,"*","TBP_peak_87",6.62254,"Promoter (2-3kb)",1,2049203,2049651,449,2,"105378591","ENST00000445600.1",2972,"Promoter (2-3kb)"
"chr1",2053412,2053412,1,"*","TBP_peak_88",9.12157,"Promoter (2-3kb)",1,2055441,2071536,16096,1,"5590","ENST00000479566.5",-2029,"Promoter (2-3kb)"
"chr1",2133347,2133347,1,"*","TBP_peak_89",6.12447,"Promoter (<=1kb)",1,2133638,2148924,15287,1,"5590","ENST00000471018.6",-291,"Promoter (<=1kb)"
"chr1",2175999,2175999,1,"*","TBP_peak_90",14.323,"Intron (ENST00000378567.8/5590, intron 16 of 17)",1,2168975,2173951,4977,1,"5590","ENST00000472017.1",7024,"Other Intron"
"chr1",2180579,2180579,1,"*","TBP_peak_91",16.3397,"Intron (ENST00000378567.8/5590, intron 16 of 17)",1,2181794,2183875,2082,2,"100506504","ENST00000333854.2",3296,"Other Intron"
"chr1",2189754,2189754,1,"*","TBP_peak_92",16.3735,"3' UTR",1,2189544,2194108,4565,2,"199990","ENST00000497675.2",4354,"3' UTR"
"chr1",2199499,2199499,1,"*","TBP_peak_93",29.683,"Promoter (<=1kb)",1,2189548,2199907,10360,2,"199990","ENST00000401813.7",408,"Promoter (<=1kb)"
"chr1",2204770,2204770,1,"*","TBP_peak_94",11.022,"Promoter (<=1kb)",1,2198063,2203882,5820,2,"199990","ENST00000514625.1",-888,"Promoter (<=1kb)"
"chr1",2205472,2205472,1,"*","TBP_peak_95",11.1819,"Promoter (1-2kb)",1,2198063,2203882,5820,2,"199990","ENST00000514625.1",-1590,"Promoter (1-2kb)"
"chr1",2212816,2212816,1,"*","TBP_peak_96",9.71314,"Promoter (<=1kb)",1,2189548,2212720,23173,2,"199990","ENST00000487186.5",-96,"Promoter (<=1kb)"
"chr1",2227634,2227634,1,"*","TBP_peak_97",6.54315,"Promoter (<=1kb)",1,2227388,2303908,76521,1,"6497","ENST00000704337.1",246,"Promoter (<=1kb)"
"chr1",2228036,2228036,1,"*","TBP_peak_98",59.2042,"Promoter (<=1kb)",1,2228319,2310213,81895,1,"6497","ENST00000378536.5",-283,"Promoter (<=1kb)"
"chr1",2275838,2275838,1,"*","TBP_peak_99",6.1936,"Intron (ENST00000704337.1/6497, intron 1 of 3)",1,2303646,2304368,723,1,"6497","ENST00000507179.1",-27808,"Other Intron"
"chr1",2291044,2291044,1,"*","TBP_peak_100",3.81851,"Intron (ENST00000704337.1/6497, intron 1 of 3)",1,2303646,2304368,723,1,"6497","ENST00000507179.1",-12602,"Other Intron"
"chr1",2381961,2381961,1,"*","TBP_peak_101",6.66709,"Intron (ENST00000378531.8/79906, intron 6 of 13)",1,2371676,2385121,13446,2,"79906","ENST00000419785.1",3160,"Other Intron"
"chr1",2391609,2391609,1,"*","TBP_peak_102",19.7699,"Promoter (<=1kb)",1,2321253,2391554,70302,2,"79906","ENST00000378531.8",-55,"Promoter (<=1kb)"
"chr1",2412580,2412580,1,"*","TBP_peak_103",5.07276,"Promoter (<=1kb)",1,2403974,2412564,8591,2,"5192","ENST00000447513.7",-16,"Promoter (<=1kb)"
"chr1",2412982,2412982,1,"*","TBP_peak_104",6.57287,"Promoter (<=1kb)",1,2403974,2412564,8591,2,"5192","ENST00000447513.7",-418,"Promoter (<=1kb)"
"chr1",2448266,2448266,1,"*","TBP_peak_105",4.36205,"Intron (ENST00000609981.5/9651, intron 2 of 3)",1,2467459,2505526,38068,1,"9651","ENST00000449969.5",-19193,"Other Intron"
"chr1",2475799,2475799,1,"*","TBP_peak_106",13.5726,"Promoter (<=1kb)",1,2476289,2505532,29244,1,"9651","ENST00000378486.8",-490,"Promoter (<=1kb)"
"chr1",2526253,2526253,1,"*","TBP_peak_107",3.97475,"Promoter (<=1kb)",1,2521261,2526187,4927,2,"55229","ENST00000491212.1",-66,"Promoter (<=1kb)"
"chr1",2526551,2526551,1,"*","TBP_peak_108",65.897,"Promoter (<=1kb)",1,2519204,2526575,7372,2,"55229","ENST00000486396.1",24,"Promoter (<=1kb)"
"chr1",2541785,2541785,1,"*","TBP_peak_109",4.58878,"Intron (ENST00000644246.1/ENST00000644246.1, intron 1 of 1)",1,2550074,2551598,1525,2,"115110","ENST00000448624.2",9813,"Other Intron"
"chr1",2546086,2546086,1,"*","TBP_peak_110",6.37789,"Exon (ENST00000644246.1/ENST00000644246.1, exon 2 of 2)",1,2550074,2551598,1525,2,"115110","ENST00000448624.2",5512,"Other Exon"
"chr1",2546379,2546379,1,"*","TBP_peak_111",14.1962,"Exon (ENST00000644246.1/ENST00000644246.1, exon 2 of 2)",1,2550074,2551598,1525,2,"115110","ENST00000448624.2",5219,"Other Exon"
"chr1",2585980,2585980,1,"*","TBP_peak_112",20.6673,"Promoter (<=1kb)",1,2586491,2589632,3142,1,"127281","ENST00000493183.5",-511,"Promoter (<=1kb)"
"chr1",2586442,2586442,1,"*","TBP_peak_113",7.9882,"Promoter (<=1kb)",1,2586491,2589632,3142,1,"127281","ENST00000493183.5",-49,"Promoter (<=1kb)"
"chr1",3320103,3320103,1,"*","TBP_peak_114",5.26065,"Intron (ENST00000511072.5/63976, intron 3 of 15)",1,3313052,3323149,10098,2,"105378604","ENST00000669140.1",3046,"Other Intron"
"chr1",3453270,3453270,1,"*","TBP_peak_115",5.17005,"Promoter (1-2kb)",1,3454665,3481113,26449,1,"27237","ENST00000378378.9",-1395,"Promoter (1-2kb)"
"chr1",3491403,3491403,1,"*","TBP_peak_116",9.00427,"Promoter (2-3kb)",1,3490312,3493486,3175,2,"1953","ENST00000494257.1",2083,"Promoter (2-3kb)"
"chr1",3533647,3533647,1,"*","TBP_peak_117",11.1831,"Promoter (2-3kb)",1,3489920,3531448,41529,2,"1953","ENST00000294599.8",-2199,"Promoter (2-3kb)"
"chr1",3575722,3575722,1,"*","TBP_peak_118",8.16072,"Intron (ENST00000356575.9/1953, intron 4 of 36)",1,3560695,3560790,96,2,"693135","ENST00000385042.1",-14932,"Other Intron"
"chr1",3619164,3619164,1,"*","TBP_peak_119",8.2379,"Distal Intergenic",1,3622859,3624750,1892,2,"1953","ENST00000702520.1",5586,"Distal Intergenic"
"chr1",3625042,3625042,1,"*","TBP_peak_120",3.48929,"Promoter (<=1kb)",1,3625050,3630127,5078,1,"127262","ENST00000344579.5",-8,"Promoter (<=1kb)"
"chr1",3625794,3625794,1,"*","TBP_peak_121",9.40746,"Promoter (<=1kb)",1,3625050,3630127,5078,1,"127262","ENST00000344579.5",744,"Promoter (<=1kb)"
"chr1",3650059,3650059,1,"*","TBP_peak_122",17.9144,"Promoter (<=1kb)",1,3630767,3650058,19292,2,"49856","ENST00000378322.7",-1,"Promoter (<=1kb)"
"chr1",3724687,3724687,1,"*","TBP_peak_123",4.36205,"Promoter (2-3kb)",1,3727478,3733367,5890,1,"7161","ENST00000604566.1",-2791,"Promoter (2-3kb)"
"chr1",3747339,3747339,1,"*","TBP_peak_124",14.5031,"Promoter (<=1kb)",1,3736193,3747336,11144,2,"57212","ENST00000647831.1",-3,"Promoter (<=1kb)"
"chr1",3774996,3774996,1,"*","TBP_peak_125",19.3251,"Promoter (2-3kb)",1,3772825,3775388,2564,1,"388588","ENST00000452264.1",2171,"Promoter (2-3kb)"
"chr1",3785602,3785602,1,"*","TBP_peak_126",4.85915,"Promoter (1-2kb)",1,3781135,3784175,3041,2,"57470","ENST00000462356.5",-1427,"Promoter (1-2kb)"
"chr1",3793890,3793890,1,"*","TBP_peak_127",68.421,"Promoter (2-3kb)",1,3778559,3796498,17940,2,"57470","ENST00000378251.3",2608,"Promoter (2-3kb)"
"chr1",3796544,3796544,1,"*","TBP_peak_128",26.9871,"Promoter (<=1kb)",1,3778559,3796498,17940,2,"57470","ENST00000378251.3",-46,"Promoter (<=1kb)"
"chr1",3804117,3804117,1,"*","TBP_peak_129",9.33215,"Distal Intergenic",1,3778559,3796498,17940,2,"57470","ENST00000378251.3",-7619,"Distal Intergenic"
"chr1",3804700,3804700,1,"*","TBP_peak_130",7.69918,"Distal Intergenic",1,3778559,3796498,17940,2,"57470","ENST00000378251.3",-8202,"Distal Intergenic"
"chr1",3857306,3857306,1,"*","TBP_peak_131",14.2257,"Promoter (<=1kb)",1,3857281,3885429,28149,1,"1677","ENST00000491998.5",25,"Promoter (<=1kb)"
"chr1",3870100,3870100,1,"*","TBP_peak_132",13.0686,"Promoter (2-3kb)",1,3867663,3872545,4883,1,"1677","ENST00000481945.1",2437,"Promoter (2-3kb)"
"chr1",3881605,3881605,1,"*","TBP_peak_133",8.69224,"Promoter (1-2kb)",1,3883507,3885429,1923,1,"1677","ENST00000461150.1",-1902,"Promoter (1-2kb)"
"chr1",3900464,3900464,1,"*","TBP_peak_134",42.793,"Promoter (<=1kb)",1,3900437,3906036,5600,1,"100133612","ENST00000693306.1",27,"Promoter (<=1kb)"
"chr1",3976122,3976122,1,"*","TBP_peak_135",79.9605,"Distal Intergenic",1,3947144,3949024,1881,2,"105376672","ENST00000671015.1",-27098,"Distal Intergenic"
"chr1",4007270,4007270,1,"*","TBP_peak_136",16.838,"Intron (ENST00000642026.2/ENST00000642026.2, intron 2 of 2)",1,3947144,3949024,1881,2,"105376672","ENST00000671015.1",-58246,"Other Intron"
"chr1",4144723,4144723,1,"*","TBP_peak_137",4.36205,"Distal Intergenic",1,3947144,3949024,1881,2,"105376672","ENST00000671015.1",-195699,"Distal Intergenic"
"chr1",4303120,4303120,1,"*","TBP_peak_138",19.5619,"Distal Intergenic",1,4412027,4424689,12663,1,"284661","ENST00000635002.1",-108907,"Distal Intergenic"
"chr1",5539503,5539503,1,"*","TBP_peak_139",7.15965,"Distal Intergenic",1,5489795,5493057,3263,2,"105376686","ENST00000641860.1",-46446,"Distal Intergenic"
"chr1",5893408,5893408,1,"*","TBP_peak_140",4.11991,"Intron (ENST00000478423.6/261734, intron 12 of 25)",1,5876879,5882849,5971,2,"261734","ENST00000470763.1",-10559,"Other Intron"
"chr1",5917908,5917908,1,"*","TBP_peak_141",77.5284,"Intron (ENST00000478423.6/261734, intron 9 of 25)",1,5886495,5905324,18830,2,"261734","ENST00000466897.1",-12584,"Other Intron"
"chr1",5992430,5992430,1,"*","TBP_peak_142",13.7728,"Promoter (<=1kb)",1,5862811,5992425,129615,2,"261734","ENST00000378156.9",-5,"Promoter (<=1kb)"
"chr1",6007131,6007131,1,"*","TBP_peak_143",2.72186,"Intron (ENST00000655548.1/8514, intron 1 of 9)",1,5992760,6086371,93612,1,"8514","ENST00000462676.3",14371,"Other Intron"
"chr1",6007538,6007538,1,"*","TBP_peak_144",5.36148,"Exon (ENST00000493807.2/8514, exon 3 of 3)",1,5992760,6086371,93612,1,"8514","ENST00000462676.3",14778,"Other Exon"
"chr1",6052734,6052734,1,"*","TBP_peak_145",5.80471,"Intron (ENST00000655548.1/8514, intron 3 of 9)",1,6046114,6098855,52742,1,"8514","ENST00000458166.6",6620,"Other Intron"
"chr1",6127752,6127752,1,"*","TBP_peak_146",8.89093,"Promoter (<=1kb)",1,6125534,6128542,3009,2,"26038","ENST00000491020.1",790,"Promoter (<=1kb)"
"chr1",6199632,6199632,1,"*","TBP_peak_147",132.705,"Promoter (<=1kb)",1,6185020,6199595,14576,2,"6146","ENST00000234875.9",-37,"Promoter (<=1kb)"
"chr1",6205005,6205005,1,"*","TBP_peak_148",4.03072,"Promoter (<=1kb)",1,6205475,6208307,2833,1,"388591","ENST00000466994.5",-470,"Promoter (<=1kb)"
"chr1",6205316,6205316,1,"*","TBP_peak_149",13.6996,"Promoter (<=1kb)",1,6205475,6208307,2833,1,"388591","ENST00000466994.5",-159,"Promoter (<=1kb)"
"chr1",6206021,6206021,1,"*","TBP_peak_150",7.33223,"Promoter (<=1kb)",1,6206119,6221299,15181,1,"388591","ENST00000377939.5",-98,"Promoter (<=1kb)"
"chr1",6208851,6208851,1,"*","TBP_peak_151",6.47776,"Promoter (<=1kb)",1,6208860,6220805,11946,1,"388591","ENST00000496676.5",-9,"Promoter (<=1kb)"
